v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,3185,0x13c7e20,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,3190,0x13c7f00,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3194,0x13c7fe0,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,3199,0x13c80c0,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3204,0x13c81a0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,3209,0x13c8280,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,3214,0x13c8360,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,3219,0x13c8440,142,DatePrototypeValueOf
code-creation,Builtin,3,3223,0x13c84e0,460,DatePrototypeToPrimitive
code-creation,Builtin,3,3228,0x13c86c0,12,DatePrototypeGetYear
code-creation,Builtin,3,3232,0x13c86e0,12,DatePrototypeSetYear
code-creation,Builtin,3,3237,0x13c8700,12,DateNow
code-creation,Builtin,3,3241,0x13c8720,12,DateParse
code-creation,Builtin,3,3245,0x13c8740,12,DatePrototypeSetDate
code-creation,Builtin,3,3250,0x13c8760,12,DatePrototypeSetFullYear
code-creation,Builtin,3,3254,0x13c8780,12,DatePrototypeSetHours
code-creation,Builtin,3,3259,0x13c87a0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,3267,0x13c87c0,12,DatePrototypeSetMinutes
code-creation,Builtin,3,3272,0x13c87e0,12,DatePrototypeSetMonth
code-creation,Builtin,3,3277,0x13c8800,12,DatePrototypeSetSeconds
code-creation,Builtin,3,3282,0x13c8820,12,DatePrototypeSetTime
code-creation,Builtin,3,3286,0x13c8840,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,3291,0x13c8860,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,3296,0x13c8880,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,3301,0x13c88a0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,3306,0x13c88c0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3311,0x13c88e0,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3316,0x13c8900,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,3320,0x13c8920,12,DatePrototypeToDateString
code-creation,Builtin,3,3325,0x13c8940,12,DatePrototypeToISOString
code-creation,Builtin,3,3330,0x13c8960,12,DatePrototypeToUTCString
code-creation,Builtin,3,3334,0x13c8980,12,DatePrototypeToString
code-creation,Builtin,3,3339,0x13c89a0,12,DatePrototypeToTimeString
code-creation,Builtin,3,3344,0x13c89c0,12,DatePrototypeToJson
code-creation,Builtin,3,3348,0x13c89e0,12,DateUTC
code-creation,Builtin,3,3352,0x13c8a00,12,ErrorConstructor
code-creation,Builtin,3,3357,0x13c8a20,12,ErrorCaptureStackTrace
code-creation,Builtin,3,3378,0x13c8a40,12,ErrorPrototypeToString
code-creation,Builtin,3,3383,0x13c8a60,12,FunctionConstructor
code-creation,Builtin,3,3408,0x13c8a80,64,FunctionPrototypeApply
code-creation,Builtin,3,3413,0x13c8ae0,12,FunctionPrototypeBind
code-creation,Builtin,3,3417,0x13c8b00,896,FastFunctionPrototypeBind
code-creation,Builtin,3,3422,0x13c8ea0,47,FunctionPrototypeCall
code-creation,Builtin,3,3427,0x13c8ee0,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,3431,0x13c9040,12,FunctionPrototypeToString
code-creation,Builtin,3,3436,0x13c9060,205,CreateIterResultObject
code-creation,Builtin,3,3441,0x13c9140,830,CreateGeneratorObject
code-creation,Builtin,3,3462,0x13c9480,12,GeneratorFunctionConstructor
code-creation,Builtin,3,3467,0x13c94a0,516,GeneratorPrototypeNext
code-creation,Builtin,3,3471,0x13c96c0,524,GeneratorPrototypeReturn
code-creation,Builtin,3,3496,0x13c98e0,528,GeneratorPrototypeThrow
code-creation,Builtin,3,3501,0x13c9b00,12,AsyncFunctionConstructor
code-creation,Builtin,3,3505,0x13c9b20,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,3511,0x13c9b60,12,GlobalDecodeURI
code-creation,Builtin,3,3515,0x13c9b80,12,GlobalDecodeURIComponent
code-creation,Builtin,3,3519,0x13c9ba0,12,GlobalEncodeURI
code-creation,Builtin,3,3540,0x13c9bc0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,3545,0x13c9be0,12,GlobalEscape
code-creation,Builtin,3,3550,0x13c9c00,12,GlobalUnescape
code-creation,Builtin,3,3555,0x13c9c20,12,GlobalEval
code-creation,Builtin,3,3559,0x13c9c40,145,GlobalIsFinite
code-creation,Builtin,3,3563,0x13c9ce0,137,GlobalIsNaN
code-creation,Builtin,3,3568,0x13c9d80,12,JsonParse
code-creation,Builtin,3,3572,0x13c9da0,12,JsonStringify
code-creation,Builtin,3,3576,0x13c9dc0,3737,LoadIC
code-creation,Builtin,3,3580,0x13cac60,3213,LoadIC_Megamorphic
code-creation,Builtin,3,3585,0x13cb900,3265,LoadIC_Noninlined
code-creation,Builtin,3,3589,0x13cc5e0,52,LoadICTrampoline
code-creation,Builtin,3,3594,0x13cc620,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,3598,0x13cc660,6972,KeyedLoadIC
code-creation,Builtin,3,3602,0x13ce1a0,12056,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,3607,0x13d10c0,52,KeyedLoadICTrampoline
code-creation,Builtin,3,3612,0x13d1100,52,KeyedLoadICTrampoline_Megamorphic
code-creation,Builtin,3,3616,0x13d1140,5472,StoreGlobalIC
code-creation,Builtin,3,3621,0x13d26c0,52,StoreGlobalICTrampoline
