v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,3322,0x13c86e0,12,DatePrototypeSetYear
code-creation,Builtin,3,3325,0x13c8700,12,DateNow
code-creation,Builtin,3,3328,0x13c8720,12,DateParse
code-creation,Builtin,3,3331,0x13c8740,12,DatePrototypeSetDate
code-creation,Builtin,3,3334,0x13c8760,12,DatePrototypeSetFullYear
code-creation,Builtin,3,3337,0x13c8780,12,DatePrototypeSetHours
code-creation,Builtin,3,3346,0x13c87a0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,3350,0x13c87c0,12,DatePrototypeSetMinutes
code-creation,Builtin,3,3353,0x13c87e0,12,DatePrototypeSetMonth
code-creation,Builtin,3,3357,0x13c8800,12,DatePrototypeSetSeconds
code-creation,Builtin,3,3360,0x13c8820,12,DatePrototypeSetTime
code-creation,Builtin,3,3363,0x13c8840,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,3366,0x13c8860,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,3370,0x13c8880,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,3373,0x13c88a0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,3377,0x13c88c0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3380,0x13c88e0,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3383,0x13c8900,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,3386,0x13c8920,12,DatePrototypeToDateString
code-creation,Builtin,3,3390,0x13c8940,12,DatePrototypeToISOString
code-creation,Builtin,3,3393,0x13c8960,12,DatePrototypeToUTCString
code-creation,Builtin,3,3396,0x13c8980,12,DatePrototypeToString
code-creation,Builtin,3,3399,0x13c89a0,12,DatePrototypeToTimeString
code-creation,Builtin,3,3403,0x13c89c0,12,DatePrototypeToJson
code-creation,Builtin,3,3405,0x13c89e0,12,DateUTC
code-creation,Builtin,3,3408,0x13c8a00,12,ErrorConstructor
code-creation,Builtin,3,3412,0x13c8a20,12,ErrorCaptureStackTrace
code-creation,Builtin,3,3415,0x13c8a40,12,ErrorPrototypeToString
code-creation,Builtin,3,3418,0x13c8a60,12,FunctionConstructor
code-creation,Builtin,3,3421,0x13c8a80,64,FunctionPrototypeApply
code-creation,Builtin,3,3424,0x13c8ae0,12,FunctionPrototypeBind
code-creation,Builtin,3,3427,0x13c8b00,896,FastFunctionPrototypeBind
code-creation,Builtin,3,3431,0x13c8ea0,47,FunctionPrototypeCall
code-creation,Builtin,3,3434,0x13c8ee0,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,3437,0x13c9040,12,FunctionPrototypeToString
code-creation,Builtin,3,3440,0x13c9060,205,CreateIterResultObject
code-creation,Builtin,3,3444,0x13c9140,830,CreateGeneratorObject
code-creation,Builtin,3,3447,0x13c9480,12,GeneratorFunctionConstructor
code-creation,Builtin,3,3451,0x13c94a0,516,GeneratorPrototypeNext
code-creation,Builtin,3,3455,0x13c96c0,524,GeneratorPrototypeReturn
code-creation,Builtin,3,3458,0x13c98e0,528,GeneratorPrototypeThrow
code-creation,Builtin,3,3462,0x13c9b00,12,AsyncFunctionConstructor
code-creation,Builtin,3,3465,0x13c9b20,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,3469,0x13c9b60,12,GlobalDecodeURI
code-creation,Builtin,3,3472,0x13c9b80,12,GlobalDecodeURIComponent
code-creation,Builtin,3,3476,0x13c9ba0,12,GlobalEncodeURI
code-creation,Builtin,3,3479,0x13c9bc0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,3482,0x13c9be0,12,GlobalEscape
code-creation,Builtin,3,3485,0x13c9c00,12,GlobalUnescape
code-creation,Builtin,3,3488,0x13c9c20,12,GlobalEval
code-creation,Builtin,3,3491,0x13c9c40,145,GlobalIsFinite
code-creation,Builtin,3,3494,0x13c9ce0,137,GlobalIsNaN
code-creation,Builtin,3,3497,0x13c9d80,12,JsonParse
code-creation,Builtin,3,3499,0x13c9da0,12,JsonStringify
code-creation,Builtin,3,3502,0x13c9dc0,3737,LoadIC
code-creation,Builtin,3,3505,0x13cac60,3213,LoadIC_Megamorphic
code-creation,Builtin,3,3508,0x13cb900,3265,LoadIC_Noninlined
code-creation,Builtin,3,3511,0x13cc5e0,52,LoadICTrampoline
code-creation,Builtin,3,3514,0x13cc620,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,3518,0x13cc660,6972,KeyedLoadIC
code-creation,Builtin,3,3521,0x13ce1a0,12056,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,3524,0x13d10c0,52,KeyedLoadICTrampoline
code-creation,Builtin,3,3527,0x13d1100,52,KeyedLoadICTrampoline_Megamorphic
